state,AverageIncome,MedianIncome,CostOfLiving,MinimumWage,GDP,GDPGrowth,UnemploymentRate,DominosMedCheese,McDonaldsHappyMeal,McDonaldsBigMac,ChickfilAChickenSandwich,TacoBellComboMeal
Alabama,53394.0,59605.0,88.0,,50637,1.6,2.1,12.99,2.79,3.99,3.05,5.79
Alaska,66130.0,82512.0,123.8,11.73,68919,-2.4,3.8,15.99,3.4,4.87,3.7199999999999998,7.06
Arizona,63045.0,66340.0,111.5,14.35,56667,2.5,3.6,14.99,3.1,4.43,3.39,6.43
Arkansas,51251.0,54658.0,88.7,11.0,51787,2.6,2.6,12.99,2.76,3.95,3.02,5.73
California,76960.0,74819.0,144.8,16.0,77339,0.4,4.6,14.99,3.5700000000000003,5.11,3.9,7.41
Colorado,71968.0,77331.0,102.0,14.42,74167,3.2,2.9,14.99,3.21,4.59,3.51,6.66
Connecticut,73736.0,81285.0,112.3,15.69,84972,2.4,3.6,14.49,3.46,4.95,3.7800000000000002,7.18
Delaware,65998.0,75674.0,100.8,13.25,61387,2.1,4.1,13.99,3.24,4.63,3.54,6.72
Florida,60216.0,62973.0,102.8,12.0,63597,4.0,2.7,13.99,3.12,4.47,3.42,6.48
Georgia,61256.0,62468.0,91.3,5.15,57129,2.8,3.2,13.99,2.9,4.15,3.17,6.02
Hawaii,65042.0,78745.0,186.9,14.0,61175,1.2,2.8,18.99,3.71,5.31,4.06,7.7
Idaho,55640.0,68781.0,102.0,7.25,54537,4.9,2.8,12.35,2.96,4.23,3.23,6.14
Illinois,67122.0,66950.0,94.4,14.0,68822,2.3,4.0,14.49,3.18,4.55,3.48,6.6
Indiana,56410.0,60351.0,90.5,7.25,57930,1.9,3.3,13.99,2.87,4.11,3.14,5.96
Iowa,56410.0,61283.0,89.7,7.25,58905,-1.5,2.7,12.99,2.85,4.07,3.11,5.91
Kansas,56264.0,64518.0,87.0,7.25,60152,1.6,2.7,14.99,2.85,4.07,3.11,5.91
Kentucky,54018.0,57509.0,93.0,7.25,52109,1.8,3.8,12.79,2.8200000000000003,4.03,3.08,5.85
Louisiana,53435.0,53821.0,92.2,,54622,-1.8,3.4,12.99,2.9,4.15,3.17,6.02
Maine,60008.0,66369.0,112.1,14.15,59463,1.8,2.4,14.99,3.12,4.47,3.42,6.48
Maryland,73632.0,81293.0,115.3,15.0,70730,,1.8,13.99,3.52,5.03,3.84,7.3
Massachusetts,80330.0,81170.0,145.9,15.0,84945,2.0,2.5,14.99,3.4,4.87,3.7199999999999998,7.06
Michigan,60590.0,64579.0,90.4,10.33,56813,1.8,3.6,12.99,2.99,4.27,3.26,6.2
Minnesota,66706.0,72319.0,95.1,10.85,68010,1.2,3.0,13.99,3.1,4.43,3.39,6.43
Mississippi,47569.0,51554.0,87.9,,46248,0.2,3.0,13.49,2.73,3.91,2.99,5.67
Missouri,57574.0,59605.0,88.7,12.3,56551,1.7,2.7,14.99,2.73,3.99,3.05,5.79
Montana,55910.0,65242.0,94.9,10.3,57719,1.6,2.5,14.99,2.99,4.27,3.26,6.2
Nebraska,58074.0,63813.0,93.1,12.0,63321,1.1,2.0,11.99,2.85,4.07,3.11,5.91
Nevada,58906.0,64412.0,101.3,11.25,61282,3.7,5.3,13.99,3.1,4.43,3.39,6.43
New Hampshire,66102.0,84017.0,112.6,7.25,74663,,1.7,13.99,3.38,4.83,3.69,7.01
New Jersey,73986.0,83102.0,114.6,15.13,78700,2.6,3.9,13.99,3.63,5.19,3.96,7.53
New Mexico,57512.0,56766.0,93.3,12.0,51500,1.1,3.6,13.99,3.01,4.31,3.29,6.25
New York,78624.0,69135.0,123.3,15.0,78089,3.2,3.9,14.49,3.65,5.23,4.0,7.58
North Carolina,59717.0,61811.0,97.8,7.25,57416,3.2,3.3,14.49,2.9,4.15,3.17,6.02
North Dakota,59051.0,66813.0,91.9,7.25,66184,-1.3,2.0,12.99,2.87,4.11,3.14,5.96
Ohio,59883.0,61617.0,94.2,10.45,57880,1.5,3.3,13.99,2.8200000000000003,4.03,3.08,5.85
